iter	Logloss
0	0.6221156904
1	0.5666230812
2	0.5158826542
3	0.4653464793
4	0.417780929
5	0.3784494039
6	0.3510905723
7	0.3285170604
8	0.3103174509
9	0.2933580694
10	0.278329875
11	0.269598493
12	0.258668123
13	0.2481071582
14	0.2400286709
15	0.2367772164
16	0.2324067958
17	0.2286891674
18	0.2253621892
19	0.2232597079
20	0.219790915
21	0.2170292668
22	0.2130654776
23	0.209630843
24	0.2073153036
25	0.2061092081
26	0.2046292533
27	0.2038315332
28	0.2016734155
29	0.1997336114
30	0.1982108916
31	0.1975677811
32	0.1962755119
33	0.1947805743
34	0.1934813689
35	0.1926935609
36	0.1918194117
37	0.1910666721
38	0.1901190341
39	0.1892373674
40	0.1885874652
41	0.1876455512
42	0.1873542089
43	0.1868376965
44	0.1861165784
45	0.1857135459
46	0.1848742939
47	0.1840438016
48	0.1835838817
49	0.1831185275
50	0.1826759223
51	0.1821224964
52	0.1816020439
53	0.181004369
54	0.1805138447
55	0.1799971227
56	0.1796744941
57	0.179239016
58	0.1787107989
59	0.1781993683
60	0.1776687046
61	0.1773667817
62	0.176861836
63	0.1764428532
64	0.1759604065
65	0.1754121454
66	0.1750050889
67	0.1746440315
68	0.1742441839
69	0.1738692616
70	0.1733118556
71	0.1729330685
72	0.1723660189
73	0.1718623381
74	0.1715687954
75	0.1712722278
76	0.1708231884
77	0.1705208648
78	0.1702902887
79	0.1699540642
80	0.1696374921
81	0.1691983361
82	0.1687999005
83	0.1684196811
84	0.1679006018
85	0.1675022631
86	0.1672005793
87	0.1668110786
88	0.1664149658
89	0.1660838731
90	0.1657091495
91	0.1652504084
92	0.1650485517
93	0.1646517015
94	0.1643103962
95	0.1641011293
96	0.1638609002
97	0.163419013
98	0.1630895518
99	0.1629409947
100	0.1625360663
101	0.1621807975
102	0.1618307395
103	0.1614318804
104	0.1611803484
105	0.1609283512
106	0.1605930498
107	0.1603452803
108	0.1601957283
109	0.1600346459
110	0.1596317766
111	0.1593424779
112	0.1591035686
113	0.158843222
114	0.1587165473
115	0.1584224836
116	0.1578968495
117	0.1575374147
118	0.1572924993
119	0.15700095
120	0.156788199
121	0.1565741328
122	0.1562554178
123	0.1560414272
124	0.1557004823
125	0.1553012955
126	0.1548866909
127	0.154474837
128	0.1540896026
129	0.1537949726
130	0.1535140065
131	0.1532268783
132	0.1529588904
133	0.1527167659
134	0.1524247825
135	0.1521614472
136	0.1519434491
137	0.1516011005
138	0.1510771022
139	0.1508979623
140	0.1506689874
141	0.1502902658
142	0.1499993124
143	0.1496091033
144	0.1493329758
145	0.149080541
146	0.1487781947
147	0.1484985524
148	0.1481640694
149	0.147841475
150	0.1476352726
151	0.1474596611
152	0.1471965893
153	0.1469139065
154	0.1467108162
155	0.1464362333
156	0.1461125639
157	0.1457363388
158	0.1455307936
159	0.1453476478
160	0.1450590475
161	0.1447356358
162	0.1444482548
163	0.1440513251
164	0.1437902052
165	0.1435273565
166	0.1432767814
167	0.1431637812
168	0.1429643527
169	0.1428003332
170	0.142613064
171	0.142288356
172	0.1419976359
173	0.1416753586
174	0.1414459851
175	0.1411949556
176	0.1409798139
177	0.1408070024
178	0.1405723859
179	0.1402796512
180	0.140047618
181	0.1397681011
182	0.1395712506
183	0.1393005338
184	0.1389919306
185	0.1387002012
186	0.1384433628
187	0.1381161304
188	0.137750025
189	0.1375448359
190	0.137190317
191	0.1368369842
192	0.1365208953
193	0.1361357013
194	0.1358319475
195	0.1355885343
196	0.1353509779
197	0.1349908925
198	0.1346610446
199	0.1343456018
200	0.1341383616
201	0.133821209
202	0.1335008861
203	0.1332530742
204	0.1329439553
205	0.1325560271
206	0.1322894347
207	0.1319241701
208	0.1315705168
209	0.1312576181
210	0.1309254403
211	0.1305976856
212	0.1302355243
213	0.1297926104
214	0.1295315728
215	0.1292106515
216	0.1288761711
217	0.1285444163
218	0.1282659079
219	0.1279300018
220	0.1275690441
221	0.1273716899
222	0.1272005876
223	0.1269839415
224	0.1268284187
225	0.126535864
226	0.1261188112
227	0.1259494184
228	0.1256749241
229	0.1254415834
230	0.1251485342
231	0.1248219606
232	0.1246505141
233	0.1245203382
234	0.124243216
235	0.1239493575
236	0.1237809997
237	0.1235496337
238	0.1232600027
239	0.1229786868
240	0.122611227
241	0.1223639765
242	0.1220193207
243	0.121880389
244	0.1217318034
245	0.1213923289
246	0.1209825218
247	0.1206616884
248	0.1203902944
249	0.1200753397
250	0.1197461988
251	0.1195178685
252	0.1192204835
253	0.1189106161
254	0.1185519951
255	0.1183143589
256	0.117983273
257	0.1177345694
258	0.1173869671
259	0.1172349306
260	0.1169313619
261	0.1167312597
262	0.1164063279
263	0.1161807063
264	0.1158249407
265	0.1156195882
266	0.1152574247
267	0.1150952681
268	0.1147849923
269	0.1146778225
270	0.1144337898
271	0.1141222079
272	0.1138601273
273	0.1135578782
274	0.1132765673
275	0.1129540977
276	0.1126049998
277	0.1123780816
278	0.1121509197
279	0.1119134527
280	0.1114949735
281	0.1113472242
282	0.1110415422
283	0.1107736542
284	0.1105582528
285	0.1102822621
286	0.1099869734
287	0.1097452375
288	0.1096789819
289	0.1094407793
290	0.1092862778
291	0.109020346
292	0.1088963541
293	0.1085819277
294	0.1083173127
295	0.1080491892
296	0.107837686
297	0.1075858184
298	0.1073743664
299	0.1072389021
