iter	Passed	Remaining
0	7	2113
1	13	2053
2	20	2037
3	27	2006
4	35	2110
5	42	2086
6	49	2058
7	57	2089
8	64	2095
9	75	2191
10	84	2208
11	92	2211
12	99	2199
13	106	2176
14	113	2152
15	121	2163
16	131	2185
17	141	2216
18	148	2196
19	155	2172
20	162	2154
21	168	2135
22	175	2115
23	182	2098
24	189	2082
25	196	2072
26	203	2054
27	210	2043
28	216	2027
29	223	2011
30	230	1996
31	236	1981
32	243	1969
33	250	1957
34	256	1943
35	263	1934
36	270	1921
37	277	1910
38	283	1898
39	290	1887
40	297	1879
41	304	1868
42	311	1858
43	317	1847
44	325	1844
45	334	1845
46	341	1840
47	349	1834
48	356	1828
49	365	1825
50	372	1817
51	378	1807
52	385	1798
53	393	1793
54	400	1783
55	406	1772
56	414	1765
57	421	1757
58	427	1746
59	434	1737
60	441	1727
61	447	1718
62	454	1708
63	460	1698
64	467	1690
65	474	1681
66	481	1673
67	487	1663
68	494	1654
69	500	1645
70	511	1648
71	518	1640
72	525	1635
73	533	1629
74	540	1621
75	546	1611
76	553	1603
77	560	1594
78	567	1586
79	574	1579
80	580	1570
81	587	1561
82	594	1553
83	600	1544
84	607	1537
85	614	1528
86	621	1521
87	628	1514
88	635	1506
89	642	1498
90	649	1490
91	655	1482
92	662	1474
93	668	1465
94	675	1457
95	682	1449
96	688	1441
97	695	1433
98	701	1425
99	708	1417
100	716	1410
101	722	1403
102	729	1394
103	737	1389
104	743	1380
105	750	1373
106	757	1366
107	764	1358
108	771	1351
109	777	1343
110	784	1335
111	791	1328
112	798	1320
113	804	1313
114	811	1305
115	817	1297
116	825	1290
117	831	1282
118	838	1275
119	845	1268
120	852	1261
121	859	1253
122	865	1245
123	872	1238
124	880	1232
125	887	1224
126	893	1217
127	900	1209
128	907	1202
129	914	1195
130	921	1188
131	928	1181
132	935	1174
133	941	1166
134	948	1159
135	955	1152
136	962	1145
137	969	1137
138	975	1130
139	982	1122
140	989	1115
141	996	1108
142	1003	1101
143	1010	1094
144	1016	1086
145	1023	1079
146	1030	1072
147	1037	1065
148	1044	1058
149	1051	1051
150	1058	1044
151	1064	1036
152	1071	1029
153	1078	1022
154	1090	1019
155	1101	1016
156	1107	1009
157	1116	1003
158	1123	996
159	1130	989
160	1137	981
161	1143	974
162	1150	967
163	1157	959
164	1164	952
165	1170	945
166	1178	938
167	1184	930
168	1191	923
169	1198	916
170	1204	908
171	1211	901
172	1217	894
173	1225	887
174	1231	879
175	1238	872
176	1245	865
177	1252	858
178	1258	850
179	1265	843
180	1272	836
181	1279	829
182	1285	822
183	1292	814
184	1299	807
185	1305	800
186	1314	794
187	1324	789
188	1331	782
189	1340	776
190	1349	770
191	1357	763
192	1364	756
193	1371	749
194	1378	742
195	1384	734
196	1391	727
197	1398	720
198	1405	713
199	1411	705
200	1418	698
201	1424	691
202	1431	684
203	1438	676
204	1445	669
205	1453	663
206	1460	656
207	1467	648
208	1475	642
209	1482	635
210	1489	628
211	1496	621
212	1503	614
213	1510	606
214	1516	599
215	1523	592
216	1530	585
217	1537	578
218	1543	570
219	1550	563
220	1556	556
221	1563	549
222	1570	542
223	1577	535
224	1583	527
225	1590	520
226	1596	513
227	1603	506
228	1609	499
229	1616	491
230	1623	484
231	1629	477
232	1636	470
233	1643	463
234	1650	456
235	1656	449
236	1664	442
237	1670	435
238	1677	428
239	1683	420
240	1690	413
241	1696	406
242	1703	399
243	1710	392
244	1716	385
245	1723	378
246	1729	371
247	1736	364
248	1743	357
249	1750	350
250	1757	343
251	1763	335
252	1770	328
253	1777	321
254	1783	314
255	1790	307
256	1796	300
257	1803	293
258	1810	286
259	1816	279
260	1824	272
261	1831	265
262	1838	258
263	1844	251
264	1852	244
265	1859	237
266	1866	230
267	1872	223
268	1879	216
269	1887	209
270	1893	202
271	1900	195
272	1908	188
273	1914	181
274	1921	174
275	1928	167
276	1935	160
277	1947	154
278	1955	147
279	1963	140
280	1970	133
281	1976	126
282	1983	119
283	1989	112
284	1996	105
285	2003	98
286	2009	91
287	2016	84
288	2023	77
289	2030	70
290	2037	63
291	2044	56
292	2055	49
293	2066	42
294	2075	35
295	2084	28
296	2091	21
297	2097	14
298	2104	7
299	2110	0
